2023-06-15 21:52:07.630 DEBUG [background-preinit] o.h.v.i.e.ValidatorFactoryConfigurationHelper - HV000234: Using org.hibernate.validator.internal.engine.resolver.JPATraversableResolver as ValidatorFactory-scoped traversable resolver.
2023-06-15 21:52:07.630 DEBUG [background-preinit] o.h.v.i.e.ValidatorFactoryConfigurationHelper - HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
2023-06-15 21:52:07.630 DEBUG [background-preinit] o.h.v.i.e.ValidatorFactoryConfigurationHelper - HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
2023-06-15 21:52:07.630 DEBUG [background-preinit] o.h.v.i.e.ValidatorFactoryConfigurationHelper - HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
2023-06-15 21:52:07.643 DEBUG [main] o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [/home/jimmy/projects/ownprojects/swiftwheels/backend/target/classes/com/jimmy/swiftwheels/config/ApplicationConfig.class]
2023-06-15 21:52:07.644 DEBUG [main] o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [/home/jimmy/projects/ownprojects/swiftwheels/backend/target/classes/com/jimmy/swiftwheels/config/CorsConfig.class]
2023-06-15 21:52:07.644 DEBUG [main] o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [/home/jimmy/projects/ownprojects/swiftwheels/backend/target/classes/com/jimmy/swiftwheels/config/JwtAuthenticationFilter.class]
2023-06-15 21:52:07.649 DEBUG [main] o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [/home/jimmy/projects/ownprojects/swiftwheels/backend/target/classes/com/jimmy/swiftwheels/config/SecurityConfig.class]
2023-06-15 21:52:07.657 DEBUG [main] o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [/home/jimmy/projects/ownprojects/swiftwheels/backend/target/classes/com/jimmy/swiftwheels/controller/AuthenticationController.class]
2023-06-15 21:52:07.658 DEBUG [main] o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [/home/jimmy/projects/ownprojects/swiftwheels/backend/target/classes/com/jimmy/swiftwheels/controller/AuthorizationController.class]
2023-06-15 21:52:07.660 DEBUG [main] o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [/home/jimmy/projects/ownprojects/swiftwheels/backend/target/classes/com/jimmy/swiftwheels/controller/UserController.class]
2023-06-15 21:52:07.660 DEBUG [main] o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [/home/jimmy/projects/ownprojects/swiftwheels/backend/target/classes/com/jimmy/swiftwheels/controller/VehicleController.class]
2023-06-15 21:52:07.661 DEBUG [main] o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [/home/jimmy/projects/ownprojects/swiftwheels/backend/target/classes/com/jimmy/swiftwheels/service/AuthenticationService.class]
2023-06-15 21:52:07.662 DEBUG [main] o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [/home/jimmy/projects/ownprojects/swiftwheels/backend/target/classes/com/jimmy/swiftwheels/service/JwtService.class]
